session.ID	Message.ID	Message.Timestamp	Message.From	Message.Text	Dialog-Acts									
1	1	2016-03-08T03:01:14.630Z	user	I'd like 2 tickets to see Zoolander 2 tomorrow at Regal Meridian 16 theater in Seattle at 9:25 PM	request(ticket;moviename=Zoolander 2;date=tomorrow;theater=Regal Meridian 16;city=Seattle;starttime=9:25 PM;numberofpeople=2)									
1	2	2016-03-08T03:13:48.111Z	agent	Okay, your purchase of 2 tickets for Zoolander 2 is confirmed.	inform(taskcomplete;numberofpeople=2;moviename=Zoolander 2)									
2	1	2016-03-08T02:40:09.687Z	user	Hi! are there any good foreign movies showing around Houma, Louisiana this week?	greeting(greeting=hi)	request(moviename;genre=foreign;city=Houma;state=Louisiana;date=this week)								
2	2	2016-03-08T03:30:04.420Z	agent	What date would you like me to look for a reservation?	request(date)									
2	3	2016-03-08T03:31:12.921Z	user	How about the 9th?	inform(date=9th)									
2	4	2016-03-08T13:46:17.996Z	agent	Unfortunately, there are no foreign movies playing at this time. Do you have another genre that you're interested in?	inform(result={};genre=foreign) 	request(genre)								
2	5	2016-03-08T16:10:21.890Z	user	Is there something that's maybe a good intelligent comedy?	request(moviename;description=good intelligent;genre=comedy)									
2	6	2016-03-08T16:19:04.553Z	agent	Whiskey Tango Foxtrot is the only Adult comedy I see playing in your area. Would you like to try that?	inform(moviename=Whiskey Tango Foxtrot;genre=Adult comedy;distanceconstraints=in your area) 	confirm_question()								
2	7	2016-03-08T16:23:32.871Z	user	I guess I'll have to. Any night showing will be fine.	confirm_answer()	inform(date=any night)								
2	8	2016-03-08T16:27:35.152Z	agent	Whisky Tango Foxtrot is playing at the AMC HOUMA PALACE 10 5737 W Park Ave., Houma, LA 70364 at 11:40am 2:15pm 5:00pm 7:40pm.  Does one of those times work?  How many tickets would you need?	inform(moviename=Whisky Tango Foxtrot;theater=AMC HOUMA PALACE 10 5737 W Park Ave.;zip=70364;city=Houma, LA;starttime={11:40am#2:15pm#5:00pm#7:40pm})	multiple_choice(starttime)	request(numberofpeople)							
2	9	2016-03-08T16:29:21.263Z	user	740 for 4 would be great	inform(numberofpeople=4;starttime=7:40pm)									
2	10	2016-03-08T16:45:32.538Z	agent	I have purchased your tickets for you. Thank you.	inform(taskcomplete) 	thanks(closing=thank you)								
2	11	2016-03-08T16:49:22.826Z	user	thank you.	thanks(closing=thank you)									
2	12	2016-03-08T16:54:23.208Z	agent	Thanks!	thanks(closing=thanks)									
3	1	2016-03-08T01:05:36.060Z	user	Show me restaurants near the space needle that I can bring my cat to.	request(other;distanceconstraints=near the space needle;other=bring my cat)									
3	2	2016-03-08T01:18:32.181Z	agent	I'm sorry this is a movie ticket booking service, I am not able to search for restaurants.	Deny()									
3	3	2016-03-08T01:27:06.888Z	user	show me theaters near the space needle that i can order beer in	request(theater;distanceconstraints=near the space needle)									
3	4	2016-03-08T03:42:00.086Z	agent	Here are a few results I found for you: 1) Big Picture, 2) Cinerama, and 3) Central Cinema. Would you like to search for a particular movie at one of those theaters?	inform(theater={Big Picture#Cinerama#Central Cinema}) 	multiple_choice(theater)								
4	1	2016-03-08T02:43:15.677Z	user	Hi! I'm looking for good thriller. Are there any playing right now?	greeting(greeting=Hi) 	request(moviename;genre=thriller;starttime=right now) 								
4	2	2016-03-08T04:27:24.789Z	agent	Yes, there are! The Witch, The Other Side of the Door, and The Boy are all thrillers. Would you like to find tickets for a showing for any of them?	inform(moviename={The Witch#The Other Side of the Door#The Boy};genre=thriller) 	multiple_choice(moviename)								
4	3	2016-03-08T04:30:39.166Z	user	The other side of the door sounds scary! great! Can I get 4 tickets in Carbondale, Illinois for Tuesday night?	inform(moviename=The Other Side of the Door)	request(ticket;numberofpeople=4;city=Carbondale;state=Illinois;date=Tuesday night)								
4	4	2016-03-08T05:42:57.349Z	agent	Do you have a time range in mind?	request(starttime)									
4	5	2016-03-08T05:46:09.586Z	user	Anytime after 7pm.	inform(starttime=Anytime after 7pm)									
4	6	2016-03-08T11:50:06.187Z	agent	I'm sorry The Other Side of The Door is not playing in your area on Tuesday.I am able to find show times for The Witch and Triple 9.	inform(result={};moviename=The Other Side of The Door;date=Tuesday;distanceconstraints=in your area)	inform(moviename={The Witch#Triple 9};other= show times)								
4	7	2016-03-08T15:57:35.009Z	user	The Witch will be fine.	inform(moviename=The Witch)									
4	8	2016-03-08T16:20:02.626Z	agent	I'm sorry they are only showing The Witch at 4:40 pm.  Would that be acceptable for you?	inform(moviename=The Witch;starttime=4:40pm) 	confirm_question()								
4	9	2016-03-08T16:23:38.879Z	user	That'll be fine. We'll movie before dinner.	confirm_answer()	inform(starttime=before dinner)								
4	10	2016-03-08T16:36:13.733Z	agent	I've purchased 4 tickets for The Witch at AMC SHOWPLACE CARBONDALE 8 for 4:40 PM. Thank you	inform(taskcomplete;numberofpeople=4;moviename=The Witch;theater=AMC SHOWPLACE CARBONDALE 8;city=Carbondale;starttime=4:40PM) 	thanks(closing=thank you)								
4	11	2016-03-08T16:37:25.999Z	user	Thank you so much.	thanks(closing=Thank you so much)									
4	12	2016-03-08T16:51:45.166Z	agent	Thank you.	thanks(closing=Thank you)									
5	1	2016-03-08T01:34:40.798Z	user	Hello	greeting(greeting=Hello)									
5	2	2016-03-08T01:40:04.176Z	agent	Hello there, are you interested in purchasing movie tickets?	greeting(greeting=Hello there)	confirm_question()								
5	3	2016-03-08T01:41:02.554Z	user	Yes, I am. Can you tell me what's playing tomorrow night around 8PM in Seattle?	confirm_answer()	request(moviename;starttime=around 8PM;date=tomorrow night;city=Seattle)								
5	4	2016-03-08T01:44:43.030Z	agent	All of the top current movies are playing: Zootopia, London Has Fallen, and Whisky Tango Foxtrot were the top 4 last weekend.  Do any of these interest you?	inform(moviename={Zootopia#London Has Fallen#Whisky Tango Foxtrot};description=top 4)	multiple_choice(moviename)								
5	5	2016-03-08T01:47:01.617Z	user	London Has Fallen might... did it get good reviews? I was thinking of seeing Deadpool but I might consider London Has Fallen.	confirm_question()	inform(moviename=London Has Fallen)								
5	6	2016-03-08T02:09:31.608Z	agent	London has Fallen got a lowly 26% On Rotten Tomatoes but 64% of the audience seemed to like it.	inform(moviename=London has Fallen;critic_rating=26%;description=64% of the audience like it)									
5	7	2016-03-08T02:11:11.704Z	user	I guess I'll take my chances. Can I get two tickets to the 8 o'clock showing tonight?	inform(other=I guess I'll take my chances)	request(ticket;numberofpeople=2;starttime=8 o'clock;date=tonight)								
5	8	2016-03-08T02:17:12.432Z	agent	I show London Has Fallen is playing at 9:20 pm at REGAL MERIDIAN 16 1501 7th Ave, Seattle, WA 98101 or at 7:00pm or 9:45pm at BELLEVUE LINCOLN SQUARE CINEMAS 700 Bellevue Way NE, Bellevue, WA 98004.  Would any of these work for you?	inform(moviename=london has fallen;mc_list={starttime=9:20 pm||theater=regal meridian 16||city=seattle|| state=wa||zip=98101}#{starttime={7:00pm#9:45pm}|| theater=BELLEVUE LINCOLN SQUARE CINEMAS||city=Bellevue||state=wa||zip=98004})	multiple_choice(mc_list)								
