session.ID	Message.ID	Message.Timestamp	Message.From	Message.Text	Annotation_Result
1	1	2016-03-10T03:42:09.141Z	user	I would like to book a cab please	request(taxi)
1	2	2016-03-10T03:42:11.889Z	agent	On what date would you like a taxi?	request(date)
1	3	2016-03-10T03:46:38.931Z	user	today	inform(date=today)
1	4	2016-03-10T03:50:09.409Z	agent	How many are going?	request(numberofpeople)
1	5	2016-03-10T03:51:05.441Z	user	2	inform(numberofpeople=2)
1	6	2016-03-10T04:07:47.376Z	agent	What time would you like to be picked up?	request(pickup_time)
1	7	2016-03-10T04:08:33.394Z	user	11:00 PM	inform(pickup_time=11:00 PM)
1	8	2016-03-10T04:43:12.157Z	agent	What City and State would you like me to look?	request(city;state)
1	9	2016-03-10T04:47:38.767Z	user	"New York, NY"	inform(city=New York;state=NY)
1	10	2016-03-10T05:28:44.651Z	agent	Where would you like to go?	request(dropoff_location)
1	11	2016-03-10T05:31:13.040Z	user	statue of liberty	inform(dropoff_location=statue of liberty)
1	12	2016-03-10T05:51:28.809Z	agent	$53-64 is the price for an uberX. Would you like this option?	inform(cost=$53-64;car_type=uberX)	confirm_question()
1	13	2016-03-10T05:58:41.977Z	user	"yes, thanks"	confirm_answer()	thanks(closing=thanks)
1	14	2016-03-10T06:09:56.355Z	agent	Your reservation is confirmed! Thank you for using our service.	inform(taskcomplete;closing=Thank you for using our service)
2	1	2016-03-10T01:50:08.926Z	user	i need a cars for a group of 3 if possible. they will be going to 3456 executive row from 45621 chatter way at 3pm.	request(taxi;numberofpeople=3;pickup_time=3pm;pickup_location=45621 chatter way;dropoff_location=3456 executive row)
2	2	2016-03-10T02:06:43.371Z	agent	At what date would you like to reserve?	request(date)
2	3	2016-03-10T02:08:14.083Z	user	tomorrow	inform(date=tomorrow)
2	4	2016-03-10T02:20:44.505Z	agent	Could you please provide a city and state?	request(city;state)
2	5	2016-03-10T03:02:14.128Z	user	seattle WA	inform(city=seattle;state=WA)
2	6	2016-03-10T03:19:18.016Z	agent	I can't seem to find 45621 chatter way in Seattle. Is this address correct?	inform(result={};pickup_location=45621 chatter way;pickup_location_city=seattle)	confirm_question()
2	7	2016-03-10T03:21:44.402Z	user	try anyplace close to that	request(pickup_location;distanceconstraints=close to that)
2	8	2016-03-10T04:05:32.582Z	agent	"I'm sorry, I cannot find a Chatter Way in seattle at all. Perhaps you could provide a nearby street name?"	inform(result={};pickup_location_city=seattle;other=a Chatter Way)	request(pickup_location;other=a nearby street name)
3	1	2016-03-10T02:12:08.627Z	user	"need a cab to take me to the UNCW baseball stadium from days inn on market street in wilmington, nc tomorrow at 6"	request(taxi;pickup_location=days inn on market street;pickup_location_city=wilmington;state=nc;date=tomorrow;pickup_time=6;dropoff_location=the UNCW baseball stadium)
3	2	2016-03-10T02:40:04.758Z	agent	Is that 6AM or 6PM?	multiple_choice(pickup_time={6AM#6PM})
3	3	2016-03-10T02:44:44.642Z	user	6pm	inform(pickup_time=6pm)
3	4	2016-03-10T02:53:13.416Z	agent	How many passengers will there be?	request(numberofpeople)
3	5	2016-03-10T02:56:13.621Z	user	2	inform(numberofpeople=2)
3	6	2016-03-10T03:25:54.825Z	agent	$5-6 is the price for an uberX. Would you like this option?	inform(cost=$5-6;car_type=uberX)	confirm_question()
3	7	2016-03-10T03:32:15.936Z	user	yes	confirm_answer()
3	8	2016-03-10T03:38:06.860Z	agent	"Your reservation was confirmed, enjoy your ride with UberX!"	inform(taskcomplete;closing=enjoy your ride with UberX)
4	1	2016-03-10T03:20:08.211Z	user	Hi! I need a taxi.	greeting()	request(taxi)
4	2	2016-03-10T03:45:34.398Z	agent	Hi. What city are you located in?	greeting()	request(city)
4	3	2016-03-10T03:50:13.438Z	user	New Orleans	inform(city=New Orleans)
4	4	2016-03-10T04:08:43.370Z	agent	I'll need you pick up and drop off locations.	request(pickup_location;dropoff_location)
4	5	2016-03-10T04:10:41.501Z	user	I'm at the Superdome and need to get to Louis Armstrong Airport	inform(pickup_location=Superdome;dropoff_location=Louis Armstrong Airport)
4	6	2016-03-10T04:39:10.197Z	agent	On what date would you like a taxi?	request(date)
4	7	2016-03-10T05:15:39.794Z	user	Saturday at 3pm	inform(date=Saturday;pickup_time=3pm)
4	8	2016-03-10T05:43:30.982Z	agent	How many passengers will there be?	request(numberofpeople)
4	9	2016-03-10T13:25:19.622Z	user	3	inform(numberofpeople=3)
4	10	2016-03-10T13:39:03.722Z	agent	What's the address or city of the superdome?	request(pickup_location;pickup_location_city)
4	11	2016-03-10T17:41:46.380Z	user	"1500 Sugar Bowl Dr, New Orleans, LA 70112"	inform(pickup_location=1500 Sugar Bowl Dr;pickup_location_city=New Orleans;state=LA )
4	12	2016-03-10T17:46:05.177Z	agent	$34-35 is the price for an uberX. Would you like this option?	inform(cost=$34-35;car_type=uberX)	confirm_question()
4	13	2016-03-10T18:06:18.336Z	user	"Yes, please"	confirm_answer()
4	14	2016-03-10T18:36:53.623Z	agent	"I booked your UberX ride as requested, have a safe trip!"	inform(taskcomplete;car_type=uberX;closing= have a safe trip)
4	15	2016-03-10T19:04:16.348Z	user	Thank you!	thanks()
4	16	2016-03-10T19:14:01.427Z	agent	Thanks for using our service!	thanks(closing=thanks for using our service)
5	1	2016-03-10T03:33:08.999Z	user	I need to go to Denver Airport. Can you get a taxi to meet at Coors Field in Denver in an hour?	request(taxi;dropoff_location=Denver Airport;pickup_location= Coors Field;pickup_location_city=Denver;pickup_time=in an hour)
5	2	2016-03-10T04:05:42.377Z	agent	How many passengers will there be?	request(numberofpeople)
5	3	2016-03-10T10:14:13.580Z	user	Just myself	inform(numberofpeople=1)
5	4	2016-03-10T13:12:48.612Z	agent	"Hello, how many guests will you have?"	request(greeting=Hello;numberofpeople)
5	5	2016-03-10T13:18:45.005Z	user	1	inform(numberofpeople=1)
5	6	2016-03-10T13:35:23.411Z	agent	That ride would cost $29-39 on UberX. Would you like to book that now or explore other Uber options?	inform(cost=$29-39;car_type=UberX)	confirm_question()
5	7	2016-03-10T14:34:16.829Z	user	Please book it now.	confirm_answer()
5	8	2016-03-10T14:40:13.556Z	agent	"Your UberX ride was confirmed, have a safe trip!"	inform(taskcomplete;car_type=UberX;closing=have a safe trip!)
5	9	2016-03-10T15:03:14.052Z	user	thanks!	thanks()
5	10	2016-03-10T15:05:10.188Z	agent	Thank you.	thanks()
6	1	2016-03-09T22:53:38.000Z	user	"What is the highest rated taxi service in wilmington, nc"	request(taxi;pickup_location_city=wilmington;state=nc;car_type= the highest rated taxi)
